,bathrooms,bedrooms,latitude,listing_id,longitude,price,created,building_id,description,display_address,features,manager_id,street_address,interest_level
100062,1,3,40.7454,6858062,-73.9845,4395,4,205f95d4a78f1f3befda48b89edc9669,BEAUTIFUL 2 BEDROOM POSSIBLE CONVERSION INTO THREE BEDROOM; Newly renovated two bedroom apartment. Gourmet kitchen equipped with premium cabinetry granite counter-tops and stainless steel appliances including dishwasher and microwave. WOOD-BURNING FIREPLACE; Extra closet space;FEATURES*Caesarstone Countertops*Dishwasher*Gas Fireplace*Great Closets*Hardwood Floors*High Ceilings*Microwave*Premium Cabinets this great amount of new space is a must seeView this specific apartment 7 days a week from 10-8:30pm with a 24 hours notice. For the best apartment match up kindly email me what you would like in your ideal new home and make sure your moving date is less then a month away. P To schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL CALL OR TEXT. @All pictures are copyright protected all rights reserved to Tuval Mor.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,Madison Avenue,[Doorman Elevator Dishwasher Hardwood Floors],3793e58c60343a3fd6846ca2d2ef3c7f,121 Madison Avenue,low
100063,1,2,40.7427,6836760,-73.9794,2999,4,ecea86b79afa539505aa4bad3ff449c6,No fee huge two bedroom apartment. Great location 3rd close to NYU Medical Center. BeautifulÂ true 2Â bedroom apartment renovated with AC hardwood floor new marble bathroom and great view of NY. Elevator building features laundry room and on-site garage.Â  Call or Email to view!,E 30th St,[Elevator Central A/C Walk in Closet(s) Parking High Ceilings Hardwood Floors Renovated On-site Laundry No Fee],e6472c7237327dd3903b3d6f6a94515a,210 E 30th St,medium
100065,1,1,40.7447,6866830,-73.9741,2595,4,1a6cf9b71da65cdc0cfd5015a75317ac, ,East 35th Street,[Cats Allowed Dogs Allowed],8f5a9c893f6d602f4953fcc0b8e6e9b4,326 East 35th Street,low
100066,1,1,40.7074,6885927,-74.0081,3695,4,a6200d7448037cfee809b2451219f879,CooperCooper.com :: Web ID #179546; Access 1000s of Unique Listings Online; APARTMENT FEATURES: Washer/Dryer Dishwasher Granite Kitchen High Ceilings Central A/C Wood Floors; BUILDING AMENITIES: Rental Post-War Hi-Rise Doorman Concierge Elevator Gym Swimming Pool Laundry Room Roof Deck Pets Allowed Bike Room Business Center Lounge Children's Playroom; AREA/NEIGHBORHOOD: Gristedes Rite Aid Access to the X15M22 Buses Access to 2/3/4/5/6/N/R/J/Z East River Bikeway South Street Seaport Whole Foods Market; CONTACT US: For more information or to schedule a viewing call Cooper &amp; Cooper at 000-420-2751 or email: kagglemanager@renthop.com; HELPFUL LINKS: Find A C&amp;C Associate - CooperCooper.com/Associates; Search 1000s Of Apartments - CooperCooper.com/SearchRentals; Attend Our Next Buying Seminar - CooperCooper.com/BuyingSeminar; Read Reviews - CooperCooper.com/Testimonials,Liberty Street,[Doorman Fitness Center Pool Elevator PublicOutdoor Laundry in Unit Dishwasher Cats Allowed Dogs Allowed Laundry in Building],6e5c10246156ae5bdcd9b487ca99d96a,10 Liberty Street,low
10007,2,4,40.7391,7120132,-73.9936,7400,6,05b871a1e1e0368391160bcefc608e00,SPRAWLING 2 BEDROOM FOUND! ENJOY THE LUXURY OF A FULL SERVICE DOORMAN RESIDENTIAL ROOF DECK GYM & LAUNDRY. LIVE-IN SUPER TO ACCOMMODATE 24/7! ENJOY SHOPPING AMAZING RESTAURANTS FUN BARS EASY TRANSPORTATION! SUBWAYS JUST FOOT STEPS AWAY!SPRAWLING 4 BEDROOM WITH A 2 FULL BATHROOMS & GREAT NATURAL LIGHT - GOURMET KITCHEN EQUIPPED WITH BRAND NEW APPLIANCES PLENTY OF COUNTER & CABINET SPACE - FULL SIZED MARBLE BATHROOMS - KING SIZED BEDROOMS EQUIPPED WITH A LARGE CLOSET & FLOOR TO CEILING WINDOWS - SPACIOUS LIVING & DINING AREA EQUIPPED WITH A HUGE CLOSET & FLOOR TO CEILING WINDOWS - SUPER HIGH CEILINGS!**LET YOUR SEARCH ENDS HERE!** **GUARANTORS WELCOME!!**I SPECIALIZE IN THIS AREA AND I COVER ALL NO FEE BUILDINGS. FOR AN EXCLUSIVE TOUR TO TEXT EMAIL OR CALL. 278-560-8597 kagglemanager@renthop.com<a website_redacted ,W 18 St.,[Balcony Doorman Elevator Fitness Center Terrace Laundry in Building High Speed Internet Dishwasher Hardwood Floors Outdoor Space Dogs Allowed Cats Allowed],0cff4a2a147d81e51ae8a91289e129f7,30 W 18 St.,medium
100071,3.5,4,40.7584,6933499,-73.9653,7500,4,45b4143a9841eb63d7203c4f21a64ff7,Amazing 4 bedroom convertible. Remarkably luxurious on high floor with incredible city and river views. Top of the line stainless steel kitchen with dining room attached. 30 foot living room!! Large and spacious king sized bedrooms. Marble bathrooms ample closet space throughout. Washer and dryer in unit. TONS of natural sunlight from high floor and eastern and southern exposures.New and impressive building. Full service staff including doorman concierge management and garage attendants all 24 hours 7 days a week. Full gym children s play room tenants lounge and conference room and beautiful landscaped roof top deck.DO NOT MISS OUT ON THIS DEAL!!!TO VIEW CALL TAL @ 516 603 kagglemanager@renthop.com<a website_redacted ,East 56th,[Roof Deck Dining Room Balcony Doorman Elevator Fitness Center Laundry in Building Laundry in Unit Dishwasher Hardwood Floors No Fee Outdoor Space],ad3d8ddc52c7e0859b5c6c7f7949c3bd,310 East 56th,low
100075,1,1,40.7728,6921632,-73.9502,2295,4,d68497ff1f5ac77f143e5f21817ed6fb,Don't miss out on this fantastic apartment....Spacious 1Bdr for an affordable price!Bright Sunny Renovated with new appliances and recessed lighting. Spacious 1bdr with very nice layout!!! Great Closet Space!!! WHY PAY OTHER BROKERS 15% FOR A GREAT APARTMENT WHEN YOU CAN PAY 7.5% FOR THE SAME SPACE WITH EXCELLENT CUSTOMER SERVICE?CALL ME NOW: 079-777-0601<a website_redacted ,E 81st St.,[Dishwasher Hardwood Floors No Fee],4f9b376a972b863bbfbdcdc8d717fa4e,444 E 81st St.,medium
100076,1,1,40.7709,6913084,-73.9917,3164,4,ec447453d3b8033e14a7b54ba1e13e02,The TRUE 1 bedroom apartment features extra large windows that emitt tons of sun light throughout the day an incredibly spacious living area an beautiful modern kitchen with the latest appliances and more. Laundry on every floor.Located minutes away from Central Park/Columbus Circle. Gorgeous technologically energy efficient and environmentally capable building with full luxury concierge doorman service. Three level fitness center residential lounge personal assistant and a gorgeous roof-deck with Hudson River views are just some of the unique features of this building.Call or Text Jonathan Choi to schedule a viewing anytime.<a website_redacted ,West 57th Street,[Roof Deck Doorman Elevator Laundry in Building High Speed Internet Dishwasher Hardwood Floors No Fee],63e8c482071c22f43dd91b954e75cc2c,601 West 57th Street,low
100079,1,1,40.8335,6907079,-73.9141,1350,4,f06ad2f6f1a821c8efc03dc195d369df, Currently under renovation this one bedroom is going to be beautiful.Call or text us to set up your personal tour today!,1215 Morris Avenue,[],12c0a30e296faa0dfd422fe918d7d4f4,1215 Morris Avenue,high
100081,2,2,40.7716,6925264,-73.9506,5600,4,f115a9bff3a9c4e6eedc9114374b3d74,Gut Renovated Apartment with Stainless steel appliances Natural maple shaker kitchen cabinets with granite counter-tops and floor Marble tiled bathroom.Luxury building with 24-hour doorman laundry facility.To see this apartment or to discuss your search please call text or email me kagglemanager@renthop.com 516-548-7452<a website_redacted ,E 79th St.,[Doorman Elevator Fitness Center Pre-War Laundry in Building Dishwasher Hardwood Floors No Fee],797f306f24780e1a24e4f063d46a2d8d,435 E 79th St.,low
100083,1,0,40.7897,6904268,-73.976,2750,4,10901f921370e636cef42c4bbed02483,"Enjoy the Upper West Side life-style! This apartment is ideally configured as a junior one bedroom with a separate home office. Located in a pre-war condominium building on a lovely tree-lined street it is just west of Broadway and convenient to all transportation choices.This home has large windows facing 88th Street allowing a lot of light to fill the living space. A separately designed sleeping area plus a home office offer much flexibility. The large kitchen is well-equipped with a full-size gas range and oven dishwasher and an all-in-one washer dryer unit. The apartment has been recently upgraded with new wooden floors and a fully renovated bath.""The Central"" provides a variety of amenities to its residents including a full-time doorman live-in super a bike room and a central laundry room. It is convenient to both Riverside Park and Central Park and is surrounded by an array of retail shops restaurants entertainment venues and services. Come see for yourself! (Apologies but pets aren't permitted. This is also a non-smoking building.) ",250 West 88th Street,[Doorman Elevator Pre-War Exclusive Dogs Allowed Cats Allowed],92ff104c90a9c40d153ea970e19c27c1,250 West 88th Street,medium
100084,1,2,40.7902,6821944,-73.9678,3500,4,0aa1e10d1f77ce334a02ecd84558f439,--Prime location of the Upper West Side this gorgeous building nearby TONS of the finest restaurants shops beauty salon and groceries stores will be perfect to live in. Baby steps from Central Park !! A full time Doorman and a renovated lobby to make t,W 93 St.,[Dining Room Balcony Doorman Elevator Terrace Laundry in Building High Speed Internet Dishwasher Hardwood Floors No Fee Outdoor Space Dogs Allowed Cats Allowed],bce75205499f22e47b0c1aa94e09131c,50 W 93 St.,medium
100085,1,1,40.7179,6912559,-74.0148,5165,4,7b932952de7f92e25ee7acc7eeb3b55c,This apartment features south and west exposure with partial river views a pass-through kitchen with dishwasher and granite countertops and a walk-in closet. Some building amenities include a garage pool lounge valet and fitness center. All of this just steps away from Brookfield Place! ,Chambers Street,[Dishwasher Doorman Elevator No Fee Cats Allowed Dogs Allowed],9e75980b063d7d41226e28ebc8e02824,400 Chambers Street,low
100087,1,2,40.7301,6898884,-73.9942,4400,4,46b5fd6e1ed6d002f5e6557f7e25bce1,Prime location in the heart of Greenwich Village with full time doorman laundry elevator and pet friendly.Massive 2 bedroom apartment with dishwasher eat-in kitchen very high ceilings ample closet space lots of natural light hardwood floor and much more. Must see to appreciate.To schedule a visit please contact David at (167-773-6202 or email kagglemanager@renthop.com<a website_redacted ,Waverly Place,[Doorman Elevator Pre-War Laundry in Building Dishwasher Hardwood Floors],9e4ef9d8a24f407bf0b355b27f0d9965,11 Waverly Place,low
10009,1,2,40.844,7176319,-73.9404,2300,6,3ae1e557d21e2a2e080e29aac7dd60c6,This desirable apartment is located in Washington Heights near the trains park and hospitals. The apartment features 2 bedrooms and a modern kitchen/living room layout. To see this great apartment and others on the market call Sandra Dor for a private showing. Thinking about purchasing a home? I can assist you with that as well.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,W 171 Street,[Elevator Dishwasher Dogs Allowed Cats Allowed],7c5e4fc025b70c6540d6b0e06716b9dd,651 W 171 Street,low
100090,1,1,40.79,6890107,-73.9418,1650,4,0,Located on 106th &amp; 2nd Ave. Trains: 6 at 110th {Photos of ACTUAL APARTMENT}FAB FEATURES INCLUDE: *1 Full Sized Room *An Abundance of Sunlight *Windowed bathroom *Pets OK-Yay! Don't let this or any other apartment in NYC be the &quot;one that got away&quot; Keep in touch and set up a tour of your future home with me ASAP! I am the key to unlocking your next &amp; best move. URGENCY is of the UTMOST IMPORTANCE especially in the NY market as you read this someone else may be viewing it &amp; falling in love.. CALL or TEXT MICHAELA BOYD at {856-144-5107} EMAIL {kagglemanager@renthop.com} ** Applicants should have GOOD credit and make 40Xs the Monthly rent OR have a Guarantor who has GOOD credit and makes 80Xs the Monthly rent!** Michaela Boyd/ Licensed Real Estate Salesperson MOBILE: 856-144-5107 EMAIL: kagglemanager@renthop.com - See more at: website_redacted ,East 106 Street,[prewar Dogs Allowed Cats Allowed LOWRISE SIMPLEX HARDWOOD],42931f67f3661ec1b33d6b7e42754d9a,312 East 106 Street,low
100096,1,0,40.8184,6821706,-73.9389,1300,4,0,Location: 141st St. and Malcolm X BlvdSubway: 2/3Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com PLACE: (*Actual Apartment Photos*)- Hardwood Floors- Super CozyTHE BUILDING:- Well Maintained Prewar Building- Pets Ok Case-By- Case- Close to 2/3 Express Subway Associated IHOP (Cause who doesn't love PANCAKES!?!)*With the vacancy rate in the city at 1% this is a highly competitive market that moves very quickly. If you fall in love with an apartment and have your financials in order I can take it off the market for you immediately while your application is pending!*I have SEVERAL listings to fit any lifestyle.Give me a call and find out why UPTOWN is the place to be! Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com,West 141st Street,[prewar Dogs Allowed Cats Allowed LOWRISE SIMPLEX HARDWOOD],fb520ae87b8a3b3eb646e137f0c8ddc8,111-115 West 141st Street,low
100098,1,0,40.7649,6885742,-73.9763,1980,4,7d2a37e6633ae6e663fca13dfa55d9a9,Located in one of Manhattan's most desirable areas this beautifully renovated studio is the perfect opportunity. With high ceilings renovated hardwood floors crown moldings a modern kitchen and a new bathroom this apartment instantly delivers great value. The Coronet is a full-service pre-war condominium located a block away from Central Park and Fifth Avenue. With easy access to world-renowned restaurants retail shops and cultural venues this building is in the middle of it all. For your convenience a full-time doorman live-in superintendent and a porter are at your disposition. ,West 58th Street,[Doorman Elevator Pre-War Dishwasher Dogs Allowed Cats Allowed],32bf3cd19652f17e3764c055b7a9178e,57 West 58th Street,high
100099,2,2,40.7471,6832226,-73.9867,6500,4,39661b8ce46a8d71461497819f67c279,Stunning two bedroom / two bathroom corner apartment on a high floor of a luxurious high rise building. The apartment has a split bedroom layout with large bedrooms and excellent living space. Fully renovated with stainless steel appliances and marble bathrooms. ample closet space and great natural sunlight flowing from large double pained windows. Unobstructed city views. Apartment has washer and dryer in the unit.The distinguished luxury building offers full time doorman media room tenants lounge laundry facilities valet services and state of the art fitness facility. There is also a beautifully landscaped and furnished sun terrace. Building is located right in the middle of mid town between 5th avenue and Broadway.No FeeTo view call Tal at 190-041-2739 or Email kagglemanager@renthop.com<a website_redacted ,West 31st Street,[Roof Deck Dining Room Elevator Laundry in Unit High Speed Internet Dishwasher Hardwood Floors No Fee],ad3d8ddc52c7e0859b5c6c7f7949c3bd,9 West 31st Street,low
10010,1,0,40.753,7230670,-73.9959,2396,6,d0234abbc01a982d54e8d446acc03405,Prime Location!! This Luxury Chelsea building features a 24 hour doorman with valet service and a beautifully remodeled classy lobby. Fully equipped fitness center large rooftop and laundry located on every floor.. The building is surrounded by everything you need!Spacious Alcove Studio with high ceilings and large windows that flow in beautiful natural light. The open kitchen has a microwave and a dishwasher and ample closet space!Contact: AlexiEmail: kagglemanager@renthop.com Cell: 131-300-3721<a website_redacted ,W 34 St.,[Roof Deck Doorman Elevator Fitness Center Pre-War Laundry in Building Laundry in Unit High Speed Internet Dishwasher Hardwood Floors No Fee Outdoor Space Dogs Allowed Cats Allowed],6a6c75bdb10af785bebd2a09a53fc4c2,360 W 34 St.,medium
100100,1,3,40.7231,6890563,-74.0044,3733,4,be6b7c3fdf3f63a2756306f4af7788a6,These pictures are from a similarlisting.,Thompson St,[Washer/Dryer],64249f81378907ae7cf65e8ccb4bd8dc,25 Thompson St,low
100102,3,4,40.7723,6860485,-73.9533,15000,4,cd5dbf58ff7014957be69643a96aaaf5,Ultimate luxury in the sky ! conv. 4 bedrooms 3 baths with very big master suite . Amazing closets walk in Washer and Dryer in the apartment The building is on the best area of the upper east side in one of the best school districts full service with 24H concierge and doorman the gorgeous pool and health club completes this great buildingThe views from the terrace are breath taking<a website_redacted ,E 79,[Swimming Pool Roof Deck Dining Room Balcony Doorman Elevator Fitness Center Terrace Laundry in Building Laundry in Unit High Speed Internet Dishwasher Hardwood Floors Wheelchair Access No Fee Outdoor Space Dogs Allowed Cats Allowed],964dc31a872efa33fee9af11f62e843c,350 E 79,low
100107,1,0,40.7753,6896742,-73.954,2400,4,0,Wonderful Upper East Side location! This quiet building offers the comforts of home; 24/7 doorman elevators laundry and concierge service. Walking distance to transportation (86th Street 4/5/6 and 77th Street 6) and a number of grocery stores convenience stores restaurants bars and recreational amenities.ENORMOUS alcove studio with PRIVATE TERRACE/BALCONY! This apartment features 3 large closets (one walk in) a newly renovated modern kitchen marble tile bathroom hardwood floors and an abundance of natural light. Wonderful upper east side LOW FEE apartment.FOR FURTHER INFORMATION AND VIEWING CONTACT MEYER OVADIA AT 753-396-6626 OR VIA EMAIL AT kagglemanager@renthop.com NOT WHAT YOU ARE LOOKING FOR? FEEL FREE TO CONTACT ME WITH ANY SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN YOUR SEARCH***All prices and concessions are based on availability and move in date***<a website_redacted ,East 82nd Street,[Balcony Elevator Garden/Patio Terrace Dishwasher Hardwood Floors No Fee],537e06890f6a86dbb70c187db5be4d55,240 East 82nd Street,medium
